Child	Corpus	Role	Train_size	Test_size	Size_ratio	Age	Sent_len	DL	UAS_Accuracy	LAS_Accuracy
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	2	3.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	2.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	3.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	2.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	2	2.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	2	3.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	2.0	1.0	0.6666666666666666
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	2.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	7	3.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	10	3.3333333333333335	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	13	2.5	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	2	2.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	8	2.142857142857143	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	2.0	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	4	3.3333333333333335	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	5	1.75	1.0	0.8
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	3	2.0	1.0	0.6666666666666666
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	5	3.75	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	7	2.6666666666666665	1.0	1.0
Adam	Brown	parent	206486	2012	102.6272365805169	27.131973962504365	9	2.125	1.0	1.0
